date,hrv_ms,base_lo,base_hi,avg7
7월 8일,50.0,48.0,65.0,52.0
7월 9일,,,,
7월 10일,57.0,48.0,65.0,
7월 11일,59.0,48.0,65.0,54.0
7월 12일,46.0,48.0,65.0,52.0
7월 13일,,48.0,65.0,52.0
7월 14일,,48.0,65.0,52.0
7월 15일,,,,
7월 16일,60.0,48.0,64.0,55.0
7월 17일,52.0,48.0,65.0,54.0
7월 18일,,,,
7월 19일,,,,
7월 20일,50.0,48.0,64.0,
7월 21일,,,,
7월 22일,51.0,48.0,64.0,53.0
7월 23일,41.0,48.0,65.0,48.0
7월 24일,59.0,48.0,64.0,50.0
7월 25일,48.0,48.0,64.0,49.0
7월 26일,56.0,48.0,64.0,50.0
7월 27일,50.0,48.0,64.0,50.0
7월 28일,55.0,48.0,64.0,51.0
7월 29일,61.0,48.0,64.0,52.0
7월 30일,66.0,47.0,63.0,56.0
7월 31일,56.0,47.0,64.0,56.0
8월 1일,,47.0,63.0,57.0
8월 2일,57.0,48.0,63.0,57.0
8월 3일,,48.0,63.0,59.0
8월 4일,,48.0,63.0,60.0
