week,sleep_score,sleep_min,bedtime_min,quality
7월 29일 - 8월 4일,75.0,410,-77,보통
7월 22일-28일,69.0,350,146,보통
7월 15일-21일,67.0,372,358,보통
7월 8일-14일,78.0,498,-72,보통
7월 1일-7일,75.0,388,-21,보통
6월 24일-30일,75.0,362,165,보통
6월 17일-23일,69.0,416,-4,보통
6월 10일-16일,80.0,439,-72,좋음
6월 3일-9일,77.0,417,-43,보통
5월 27일 - 6월 2일,91.0,641,-153,매우 좋음
5월 20일-26일,67.0,371,59,보통
5월 13일-19일,69.0,366,130,보통
5월 6일-12일,58.0,278,425,낮음
4월 29일 - 5월 5일,79.0,400,39,보통
4월 22일-28일,58.0,264,164,낮음
4월 15일-21일,75.0,396,142,보통
4월 8일-14일,72.0,348,329,보통
4월 1일-7일,93.0,585,1,매우 좋음
3월 25일-31일,66.0,352,194,보통
3월 18일-24일,74.0,419,183,보통
3월 11일-17일,68.0,352,12,보통
3월 4일-10일,72.0,402,109,보통
2월 25일 - 3월 3일,84.0,460,50,좋음
2월 18일-24일,68.0,368,183,보통
2월 11일-17일,79.0,472,36,보통
2월 4일-10일,88.0,568,-53,좋음
1월 28일 - 2월 3일,61.0,328,129,보통
1월 21일-27일,84.0,470,-41,좋음
1월 14일-20일,68.0,336,109,보통
1월 7일-13일,86.0,575,86,좋음
"12월 31일,  2025 - 1월 6일,  2026",64.0,333,245,보통
"12월 24일-30일,  2025",76.0,480,76,보통
"12월 17일-23일,  2025",78.0,408,149,보통
"12월 10일-16일,  2025",80.0,457,-2,좋음
"12월 3일-9일,  2025",67.0,415,259,보통
"11월 26일 - 12월 2일,  2025",72.0,403,351,보통
"11월 19일-25일,  2025",72.0,428,89,보통
"11월 12일-18일,  2025",,,,--
"11월 5일-11일,  2025",75.0,412,80,보통
"10월 29일 - 11월 4일,  2025",74.0,418,177,보통
"10월 22일-28일,  2025",69.0,443,146,보통
"10월 15일-21일,  2025",65.0,374,227,보통
"10월 8일-14일,  2025",68.0,432,62,보통
"10월 1일-7일,  2025",82.0,473,93,좋음
"9월 24일-30일,  2025",53.0,240,217,낮음
"9월 17일-23일,  2025",71.0,382,259,보통
"9월 10일-16일,  2025",56.0,274,68,낮음
"9월 3일-9일,  2025",68.0,377,200,보통
"8월 27일 - 9월 2일,  2025",81.0,489,35,좋음
"8월 20일-26일,  2025",87.0,471,-28,좋음
"8월 13일-19일,  2025",63.0,302,103,보통
"8월 6일-12일,  2025",58.0,289,658,낮음
