날짜,야간 HRV,기준,7일 평균
7월 8일,50ms,48ms - 65ms,52ms
7월 9일,--,--,--
7월 10일,57ms,48ms - 65ms,--
7월 11일,59ms,48ms - 65ms,54ms
7월 12일,46ms,48ms - 65ms,52ms
7월 13일,--,48ms - 65ms,52ms
7월 14일,--,48ms - 65ms,52ms
7월 15일,--,--,--
7월 16일,60ms,48ms - 64ms,55ms
7월 17일,52ms,48ms - 65ms,54ms
7월 18일,--,--,--
7월 19일,--,--,--
7월 20일,50ms,48ms - 64ms,--
7월 21일,--,--,--
7월 22일,51ms,48ms - 64ms,53ms
7월 23일,41ms,48ms - 65ms,48ms
7월 24일,59ms,48ms - 64ms,50ms
7월 25일,48ms,48ms - 64ms,49ms
7월 26일,56ms,48ms - 64ms,50ms
7월 27일,50ms,48ms - 64ms,50ms
7월 28일,55ms,48ms - 64ms,51ms
7월 29일,61ms,48ms - 64ms,52ms
7월 30일,66ms,47ms - 63ms,56ms
7월 31일,56ms,47ms - 64ms,56ms
8월 1일,--,47ms - 63ms,57ms
8월 2일,57ms,48ms - 63ms,57ms
8월 3일,--,48ms - 63ms,59ms
8월 4일,--,48ms - 63ms,60ms
