,안정 시 심박수
08/06/2025,48
08/13/2025,52
08/20/2025,46
08/27/2025,42
09/03/2025,43
09/10/2025,46
09/17/2025,43
09/24/2025,44
10/01/2025,44
10/08/2025,45
10/15/2025,45
10/22/2025,44
10/29/2025,48
11/05/2025,45
11/12/2025,50
11/19/2025,48
11/26/2025,51
12/03/2025,47
12/10/2025,45
12/17/2025,46
12/24/2025,47
12/31/2025,51
01/07/2026,55
01/14/2026,49
01/21/2026,51
01/28/2026,54
02/04/2026,49
02/11/2026,48
02/18/2026,50
02/25/2026,47
03/04/2026,46
03/11/2026,47
03/18/2026,48
03/25/2026,47
04/01/2026,45
04/08/2026,43
04/15/2026,43
04/22/2026,46
04/29/2026,44
05/06/2026,42
05/13/2026,43
05/20/2026,46
05/27/2026,46
06/03/2026,47
06/10/2026,49
06/17/2026,47
06/24/2026,48
07/01/2026,47
07/08/2026,45
07/15/2026,48
07/22/2026,47
07/29/2026,47
