source,stock,nid,date,likes,text
dc_title,국내주식갤,3328,,,2026 8월 1주 Global Portfolio 전략 Top Pick
dc_title,국내주식갤,3326,,,"2026 반도체 AI 데이터센터 투자 시대, 건설주 최대 수혜주"
dc_title,국내주식갤,3325,,,씨 ㅂ 돌대가리 개미들아 내일은 쳐사지마라
dc_title,국내주식갤,3324,,,사나이테스트 왜캐 씨게하냐
dc_title,국내주식갤,3323,,,얘들아 악성매물대 말인데 완전히 소화되는데 1년이 넘게걸리는거 허다함?
dc_title,국내주식갤,3322,,,주식 종목 발굴할때 말인데 시총 그나마 상위 100위 안에 드는 종목들
dc_title,국내주식갤,3320,,,삼전 하닉보다 *스가 최고다...
dc_title,국내주식갤,3319,,,단일종목 레버리지  더강화조치로 1억으로 하면 해결되는거아님?
dc_title,국내주식갤,3318,,,AI 시장의 대전환 시작! AI 인프라 관련주 TOP5 총정리
dc_title,국내주식갤,3317,,,효성화학 사라 지금이 최저가임
dc_title,국내주식갤,3315,,,근데 단일종목 레버리지 정부 왜이렇게 욕먹냐
dc_title,국내주식갤,3314,,,"집 나가려던 그녀, 69초 후 15층 발코니에서 추락… 왜?"
dc_title,국내주식갤,3313,,,"146명 사망, 18분간 4개의 탈출구가 사라졌다"
dc_title,국내주식갤,3311,,,개미들 익명그룹방에서 정보 공유합시다
dc_title,국내주식갤,3310,,,"5주 전 외국인이 순매수한 섹터 건강관리, 그 뒤 5주 수급이 흥미롭네요"
dc_title,국내주식갤,3306,,,사기업에서도 국무회의처럼 회의 중계 필수로 해야됨 ㅇㅇ
dc_title,국내주식갤,3305,,,키움 승질나네
dc_title,국내주식갤,3304,,,키움 접속  왜 안되냐
dc_title,국내주식갤,3302,,,자산관리앱 도미노 대체
dc_title,국내주식갤,3301,,,삼성전자 19~20에 들어간 사람들 존나 부럽다
dc_title,국내주식갤,3299,,,키옥시아랑 하닉이랑 1도 관련없다 기회줄때 하닉사
dc_title,국내주식갤,3298,,,아시발 하닉 상에 2억 미수 갈겻는데 머냐
dc_title,국내주식갤,3297,,,어제 마지막 레버라고 하닉 하따친놈은 배때지 쳐불렀겠네
dc_title,국내주식갤,3296,,,하닉 풀미수 1억5천 갈김 ㅋㅋ
dc_title,국내주식갤,3295,,,하닉인버스지금사면 어짜피 더 밑으로 못가는거아님?
dc_title,국내주식갤,3294,,,다들 많이들 벌고 있을텐데.
dc_title,국내주식갤,3293,,,형들 궁금한게 있어 (국장)
dc_title,국내주식갤,3292,,,주식 대폭락 경험자는 앞으로 주식 안한다
dc_title,국내주식갤,3291,,,이제부터 존나 오르는 이유
dc_title,국내주식갤,3290,,,하도 빠져서 상한가쳐도 감흥이없네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
dc_title,국내주식갤,3289,,,2026년 하반기 2차전지 관련주 전망 실적 개선 TOP4 종목
dc_title,국내주식갤,3288,,,단타로 700먹고 나간다
dc_title,국내주식갤,3287,,,그래도 숨통은 트이네 잠도 잘 못 잤는데
dc_title,국내주식갤,3286,,,아직도 국장하노? 하루만에 손실금 복구 방법
dc_title,국내주식갤,3285,,,사기꾼인거 알면서 투자해놓고 왜 비명임
dc_title,국내주식갤,3284,,,완전  바카라 도박장이네
dc_title,국내주식갤,3283,,,연기금 오늘 팔고 리밸런스 하면 되겧네
dc_title,국내주식갤,3281,,,범국가적으로 분석중이다
dc_title,국내주식갤,3280,,,미장 ㅈㄴ오르는데 하닉이 왜 떨어져?
dc_title,국내주식갤,3279,,,김용범 청문회 기싸움 영상
dc_title,국내주식갤,3278,,,주식때문에 이혼하게 생김 조언좀
dc_title,국내주식갤,3276,,,ETF 2배 레버러지 샀는데 왜 더 손해인가요?
dc_title,국내주식갤,3275,,,국장에서 원웨이로 누워있는게 미친짓이지
dc_title,국내주식갤,3274,,,"2026 지주회사 관련주｜LG, HD현대, 한화, LS, CJ 주가 전망"
dc_title,국내주식갤,3272,,,참치 공장 끔찍 참극: 12톤 참치 뒤에 갇힌 남자의 마지막 순간은?
dc_title,국내주식갤,3271,,,오늘 코덱스 200커버드콜액티브 배당락임
dc_title,국내주식갤,3269,,,삼닉 10~15만원선이 적정가임 부정하지마셈
dc_title,국내주식갤,3268,,,전에 전세금 빼서 주식 박은 공무원 있었자나
dc_title,국내주식갤,3267,,,미국유럽처럼 스포츠 토토랑 카지노 합법화 해라
dc_title,국내주식갤,3266,,,"김정남 VX 테러, CCTV 속 도주한 네 남자의 행방은?"
dc_title,국내주식갤,3265,,,삼전 32층도 있어요~
dc_title,국내주식갤,3262,,,존나궁금) 국장에 장기투자는 틀린거임??
dc_title,국내주식갤,3261,,,국장하는 병신들은 왜 지들이 물려놓고 정부탓하고 있냐?ㅋㅋ
dc_title,국내주식갤,3259,,,리밸런싱
dc_title,국내주식갤,3258,,,5천찍고 반등이나 횡보 가능하냐?
dc_title,국내주식갤,3257,,,여기 왜 념글 안뜨냐?
dc_title,국내주식갤,3256,,,취업했는데 적금들까 ETF 할까 고민임
dc_title,국내주식갤,3255,,,26년은 최악의 연도다
dc_title,국내주식갤,3252,,,주식 입문하려는데 하닉 6~7층 쯤 때 괜찮을까요 ?
dc_title,국내주식갤,3251,,,삼전 16 하닉 83 까지갑니다
dc_title,국내주식갤,3250,,,당분간 주가 오를 수가 없는 이유
dc_title,국내주식갤,3249,,,지금사야지 병신새끼들아
dc_title,국내주식갤,3248,,,삼전하닉만 떨어진거아냐
dc_title,국내주식갤,3247,,,이 이상의 지옥은 없을거라 믿고 싶었어
dc_title,국내주식갤,3246,,,살자하로간다
dc_title,국내주식갤,3245,,,삼성전자 너는 애국마저 최강이라는 말이냐
dc_title,국내주식갤,3244,,,6.3 선거전에 정리하고 관망중인데
dc_title,국내주식갤,3243,,,지금 단타도 함부러 못치겠노
dc_title,국내주식갤,3242,,,삼전5만원 하닉20만원이였는데 왜 아픈소리들을함?
dc_title,국내주식갤,3241,,,집값 1억올랐는데 주식으로 1억 날렸노
dc_title,국내주식갤,3240,,,아이고..곡소리
dc_title,국내주식갤,3237,,,2026년 하반기 주식 추천 종목 분석｜TOP5 목표주가 및 투자전략
dc_title,국내주식갤,3236,,,2026 7월 5주 Global Portfolio 전략 Top Pick
dc_title,국내주식갤,3235,,,그래도 다들 이득아님?
dc_title,국내주식갤,3234,,,고양이가 아침에 매도 버튼 눌렀다
dc_title,국내주식갤,3233,,,내일 단타금지다.
dc_title,국내주식갤,3232,,,전원주도 좃같아서 하닉팔듯  ㅋ
dc_title,국내주식갤,3231,,,??? : 삼성전자 10만간다....
dc_title,국내주식갤,3230,,,야야 그러니까 낼 하닉 155에서도 떨어진다고?
dc_title,국내주식갤,3229,,,하닉 100 깨질 건데 ㅋㅋ
dc_title,국내주식갤,3228,,,스퀘어 200만이면 사형임?
dc_title,국내주식갤,3227,,,회사 노괴 포티 피프티들 곱창난거 ㅈㄴ 좋다
dc_title,국내주식갤,3226,,,오늘 하루 2천 날아갔는데 밥은 존나 맛있네
dc_title,국내주식갤,3225,,,와시발 24에서 저점이네 들어갈까했는데
dc_title,국내주식갤,3224,,,잘 먹고갑니다
dc_title,국내주식갤,3222,,,너네들 특징
dc_title,국내주식갤,3220,,,하루만에 4년치 은행이자 쳐날려먹는 주식 ㅋㅋㅋ
dc_title,국내주식갤,3219,,,AI는 6만 명 중 한 명을 어떻게 잡았나? '사고목격자'가 밝히는 진실
dc_title,국내주식갤,3218,,,레버리지 무슨생각으로 함?
dc_title,국내주식갤,3217,,,이재명 씨발아 부자들 돈 뺏어서 강제로 삼전하닉 매수시켜서 코스피 유지해
dc_title,국내주식갤,3216,,,코덱스200커버드콜액티브 배당 얼마 나오려나
dc_title,국내주식갤,3215,,,"수술대 위의 아이러니: '오른쪽' 동의서, '왼쪽' 수술대 위에서 벌어진"
dc_title,국내주식갤,3214,,,진짜 개작살난 병신장에서 제일 개좆같은점
dc_title,국내주식갤,3213,,,진짜 씨발 개좆같이 쳐물렸네 하
dc_title,국내주식갤,3212,,,나 진짜 어떡하지....
dc_title,국내주식갤,3211,,,수술실의 망각: 13인치 견인기가 몸 안에 남겨진 충격적인 진실
dc_title,국내주식갤,3208,,,다들 주식종목 어케발굴함???
dc_title,국내주식갤,3206,,,거래량 변화에서 종목 아이디어 찾기
dc_title,국내주식갤,3203,,,주식이 오르든 말든 나처럼 단타를 쳐
dc_title,국내주식갤,3202,,,"2026 방산주 전망 탄도탄 요격 미사일 공급 부족, K-방산 수혜주"
dc_title,국내주식갤,3201,,,"하늘로 쏜 총 한 발, 1.5마일 밖 소녀의 죽음으로… 작은 실수가 참사"
dc_title,국내주식갤,3200,,,네보미 한국주식갤러리가면있음
dc_title,국내주식갤,3198,,,ueLdhamXjnwm
dc_title,국내주식갤,3197,,,IWziPmVnEYQv
dc_title,국내주식갤,3196,,,코오롱티슈진 임상 실패로부터 우리가 배워야 할 것
dc_title,국내주식갤,3193,,,아직도 국내주식한다고??
dc_title,국내주식갤,3191,,,2Q26 Review 하반기 AI·전력·바이오·태양광·금융 수혜주
dc_title,국내주식갤,3190,,,주린이 국내주식 궁금한거 질문좀요
dc_title,국내주식갤,3189,,,하닉 140까진 무조간 빠지는 이유
dc_title,국내주식갤,3188,,,기업의 기본 체력을 AI로 점검
dc_title,국내주식갤,3187,,,주식은 내가봤을땐 2번정도 기회 남았어 ㅇㅇ
dc_title,국내주식갤,3186,,,"단 한마디 오해, 5명 사망 379명은 불타는 여객기에서 어떻게 살아 나"
dc_title,국내주식갤,3184,,,"40일간 아마존 정글, 네 남매 생존의 기적"
dc_title,국내주식갤,3183,,,2026년 에너지·화학·태양광 유망주 실적 분석
dc_title,국내주식갤,3182,,,bZqISGEPwPYv
dc_title,국내주식갤,3181,,,"2026년, 주식 필터링의 패러다임이 바뀌었습니다."
dc_title,국내주식갤,3180,,,출퇴근 지하철에서 10초 만에 종목 골랐습니다.
dc_title,국내주식갤,3179,,,고베타·모멘텀·재무건전성 아이디어를 빠르게 탐색
dc_title,국내주식갤,3178,,,"미국 골든돔, MASGA 정책 수혜주 국내 조선주에 미치는 영향 완벽 분"
dc_title,국내주식갤,3176,,,미국 빅테크 실적 프리뷰｜메타·아마존·애플 투자 포인트 완벽 분석
dc_title,국내주식갤,3175,,,한국 주식 AI 스크리너 EasyStock
dc_title,국내주식갤,3174,,,2026 게임주 투자전망 TOP3 실적·목표주가·신작 완벽 분석
dc_title,국내주식갤,3173,,,텔레그램 시황 분석방 만들었는데 와주라
dc_title,국내주식갤,3172,,,장투러들을 위한 웹 알아옴
dc_title,국내주식갤,3171,,,"AI 반도체 최대 수혜주 삼성전기,LG전자 주가 전망·실적·목표주가 분석"
dc_title,국내주식갤,3170,,,엔진 초호황인데 주가는 반토막 한화엔진·HD현대마린엔진 지금이 기회
dc_title,국내주식갤,3169,,,"2026 건설주 투자전망, 지금 가장 유망한 종목"
dc_title,국내주식갤,3168,,,"파푸아뉴기니 엥가 아콤, 새벽 총격으로 49명 사망 무고한 길의 비극"
dc_title,국내주식갤,3166,,,그리스 철도 붕괴의 민낯: 템피 참사를 통해 본 인력 부족과 노후 설비
dc_title,국내주식갤,3165,,,"공짜 술 한 잔에 6명이 죽었다, 방비엥 메탄올 참사"
dc_title,국내주식갤,3164,,,2026 통신산업 심층 분석 AI 데이터센터(AIDC)가 바꾸는 통신주
dc_title,국내주식갤,3163,,,2026 K-콘텐츠에서 K-푸드까지! 한류가 만드는 새로운 투자 수혜주
dc_title,국내주식갤,3162,,,2026 화장품 관련주 전망 미국 아마존이 선택한 K뷰티 수혜주 총정리
dc_title,국내주식갤,3161,,,"AI 인터커넥트 대전환, 광통신 시대 개막! AI 데이터센터 최대 수혜주"
dc_title,국내주식갤,3160,,,갑자기 왜 오르노?
dc_title,국내주식갤,3158,,,2024 아이슬란드 빙하 붕괴: 23명 중 사라진 두 사람의 행방은?
dc_title,국내주식갤,3151,,,거북목에 두통으로 병원비만 500 썼는데 ㅋㅋ
dc_title,국내주식갤,3150,,,"화장 직전 관 속에서 깨어난 65세 여성, 21일간 생존 실화"
dc_title,국내주식갤,3149,,,아 숏이랑 인버스 너무 달다.
dc_title,국내주식갤,3147,,,"2026 철강산업 전망과 관련주 TOP6 심층분석 목표주가,투자포인트"
dc_title,국내주식갤,3146,,,삼전 떨어지는게 레버리지만 없으면 ok임?
dc_title,국내주식갤,3144,,,밥먹으러왔는데 옆에 한남새끼 냄새 씹
dc_title,국내주식갤,3143,,,사무실 포티행님들 표정 곱창났노 ㅅㅅㅅㅅㅅ
dc_title,국내주식갤,3140,,,오늘 뉴욕 출근길 ㄷㄷㄷ
