source,stock,nid,date,likes,text
board_body,삼성전자,427145080,2026-08-04T14:37:20,0,"이거 때문에  오르나? 오늘 신제품 발표 삼성전자와 SK하이닉스가 이번 'FMS 2026'에서 인공지능(AI) 인프라 병목 현상을 해결할 차세대 메모리 및 스토리지 신기술·신제품들을 대거 공개했습니다. SK하이닉스: 샌디스크와 협력하여 D램의 HBM(고대역폭 메모리) 개념을 낸드에 적용한 차세대 스토리지 규격인 **HBF(고대역폭 플래시)**의 첫 공식 표준 규격을 OCP를 통해 공개했습니다. 전력 대비 성능을 2.5배 향상시킨 10세대(V10) 375단 4D 낸드 제품도 전시 부스에서 최초로 선보였습니다. 삼성전자: HBM, V낸드, CXL 메모리, 차세대 SSD 등을 3D 구조로 연결해 AI 데이터 병목을 극복하는 메모리 중심 아키텍처(Memory-centric Architecture) 관련 혁신 기술과 차세대 제품군을 선보이며 기조연설 및 전시를 진행하고 있습니다."
board_body,삼성전자,427145078,2026-08-04T14:37:19,0,소 낙 비 내린다...비가 고마운 것은 왜 일까? 숨쉬기도 힘겨움 폭염이 잠시나마 물러갔네여. 한 다섯 시간만 더 와 주라.
board_comment,삼성전자,427145078,2026-08-04T14:37:46+0900,0,삼전닉스도 비오잖아. 시원하겠는걸
board_body,삼성전자,427145061,2026-08-04T14:37:10,1,"꼬리가 몸통을 흔들고 선물, 파생상품으로 국장을 갖고 노는구나~ 좨맹아 쫴금이라도 생각이 있으멘 국부가 술술 빠져나가는 시스템이란 사실을 알 것 아니냐~"
board_comment,삼성전자,427145061,2026-08-04T14:37:40+0900,0,왜 공매도 금지 안하나요? 갬들이 호구인가요. 도저히 국장은 못하겠어요 공매도 금지해 주세요
board_body,삼성전자,427145050,2026-08-04T14:37:07,1,중국 메모리 업체 기술력이 대단하구만 ㅋㅋ 상장하고 하루 빼고 계속 상승이네
board_body,삼성전자,427145045,2026-08-04T14:37:02,1,선물 들어오는것 같다 대단한넘들
board_body,삼성전자,427145044,2026-08-04T14:37:02,0,또 개미탕이냐?
board_body,삼성전자,427145040,2026-08-04T14:37:01,0,설레발 나올타임이다.. ㅋㅋㅋㅋㅋㅋ설레발땜에 재수 없어 안오를거다
board_body,삼성전자,427145036,2026-08-04T14:36:59,2,240일선이랑 볼밴 하단  22만~21만 사이에 외국인 포지션 보고 분할매수 하이소 정답지 줘다 ​
