label,search_string,status,file,line,source,stock,date,full_text
원형1-에코7억,나이40 다시 재취업,FOUND,raw_details.csv,914,board_body,에코프로비엠,2026-08-04T02:32:00,"나이40 다시 재취업한다. 3년전 에코에 7억 부어놓고 반토막 겪고있는 호구다. 배터리 아저씨 덕분에 좋은 기업알게되서 좋았지만, 업황이 나락가버리고 빠재도 정치병 + 반도체 열폭질에...대머리 손절하고 요즘은 그냥 혼자 정보찾아보며 묵묵히 들고가고있다. 원금 7억에서 12억 찍힐때까진 좋았는데...주식은 참 어려운것 같다ㅋ 그나마 여윳돈이니 망정이지... ​ 파이어족할려고 했다가 2차전지 꼬라지보니 몇년은 더 걸릴것 같아서...50살까지는 다시 일해야할것 같다. ​ 다행히 타이밍 맞춰 좋은자리가 하나 생기더라 경력감안해서 연봉 6천중반까지 맞춰준다는데, 돈준만큼 얼마나 굴려먹을지 심란해서 잠도 안온다... ​ 그래 내 팔자에 뭔 리치피플이냐... 일이나 할란다."
원형1-에코7억,나이40 다시 재취업,FOUND,raw_texts.csv,649,board,에코프로비엠,2026.08.04 02:32,나이40 다시 재취업한다.
원형1-퇴직금연쇄,계좌를 못멸어보고,FOUND,raw_details.csv,921,board_comment,에코프로비엠,2026-08-04T07:02:03+0900,그래도 당신이 부럽습니다 내가 봤을때 ~~ 에코프로로 번돈 그리고 퇴직금까지 몽땅 투자 그 기간중에 계속 보유했으면 그나마 반에 반 토막인데 돌 하나 땜에 엔*으로 가서 10분의 1토막 다시 다른 2차전지 매수 또다시 하락 얼마나 하락했는지 계좌를 못멸어보고  있음 작년에 신용대출 내어서 투입 안했기만 했어도 다행일텐데 하고 후회중입니다 50대 중반이되어가는 나~~ 이젠 주식이 두렵습니다 2009년부터 투자하며 2023년 까지 불패였지만 한순간에 모든것이 사라질 수 있다는 걸 ~ 내가 다시 일어 설수 있을지 너무 고통스럽습니다
원형1-불패,2009년부터 투자하며,FOUND,raw_details.csv,921,board_comment,에코프로비엠,2026-08-04T07:02:03+0900,그래도 당신이 부럽습니다 내가 봤을때 ~~ 에코프로로 번돈 그리고 퇴직금까지 몽땅 투자 그 기간중에 계속 보유했으면 그나마 반에 반 토막인데 돌 하나 땜에 엔*으로 가서 10분의 1토막 다시 다른 2차전지 매수 또다시 하락 얼마나 하락했는지 계좌를 못멸어보고  있음 작년에 신용대출 내어서 투입 안했기만 했어도 다행일텐데 하고 후회중입니다 50대 중반이되어가는 나~~ 이젠 주식이 두렵습니다 2009년부터 투자하며 2023년 까지 불패였지만 한순간에 모든것이 사라질 수 있다는 걸 ~ 내가 다시 일어 설수 있을지 너무 고통스럽습니다
원형1-수면,심란해서 잠도 안온다,FOUND,raw_details.csv,914,board_body,에코프로비엠,2026-08-04T02:32:00,"나이40 다시 재취업한다. 3년전 에코에 7억 부어놓고 반토막 겪고있는 호구다. 배터리 아저씨 덕분에 좋은 기업알게되서 좋았지만, 업황이 나락가버리고 빠재도 정치병 + 반도체 열폭질에...대머리 손절하고 요즘은 그냥 혼자 정보찾아보며 묵묵히 들고가고있다. 원금 7억에서 12억 찍힐때까진 좋았는데...주식은 참 어려운것 같다ㅋ 그나마 여윳돈이니 망정이지... ​ 파이어족할려고 했다가 2차전지 꼬라지보니 몇년은 더 걸릴것 같아서...50살까지는 다시 일해야할것 같다. ​ 다행히 타이밍 맞춰 좋은자리가 하나 생기더라 경력감안해서 연봉 6천중반까지 맞춰준다는데, 돈준만큼 얼마나 굴려먹을지 심란해서 잠도 안온다... ​ 그래 내 팔자에 뭔 리치피플이냐... 일이나 할란다."
원형1-배터리아저씨,배터리 아저씨 덕분에,FOUND,raw_details.csv,914,board_body,에코프로비엠,2026-08-04T02:32:00,"나이40 다시 재취업한다. 3년전 에코에 7억 부어놓고 반토막 겪고있는 호구다. 배터리 아저씨 덕분에 좋은 기업알게되서 좋았지만, 업황이 나락가버리고 빠재도 정치병 + 반도체 열폭질에...대머리 손절하고 요즘은 그냥 혼자 정보찾아보며 묵묵히 들고가고있다. 원금 7억에서 12억 찍힐때까진 좋았는데...주식은 참 어려운것 같다ㅋ 그나마 여윳돈이니 망정이지... ​ 파이어족할려고 했다가 2차전지 꼬라지보니 몇년은 더 걸릴것 같아서...50살까지는 다시 일해야할것 같다. ​ 다행히 타이밍 맞춰 좋은자리가 하나 생기더라 경력감안해서 연봉 6천중반까지 맞춰준다는데, 돈준만큼 얼마나 굴려먹을지 심란해서 잠도 안온다... ​ 그래 내 팔자에 뭔 리치피플이냐... 일이나 할란다."
원형2-등산포기,등산을 포기하고,FOUND,raw_details.csv,1140,board_body,알테오젠,2026-08-04T14:13:10,32만 원~ 그 가격을 넘었다~ 내가 어제 우연히 만든 신호.. ((삶은 우연이자 사실은 필연의 나날들..)) ((의사 할아버지가 오늘까지는 운동 하지 말라고.. 그래서 등산을 포기하고 그냥 차트를 봤다..)) ((그러다가 우연이자 기연을 봤다..)) ((제발.. 언제나 통하는 수식이기를..)) ((오늘부터는 드디어 등산을 해도 된다.. 기쁘다.. 얼마나 기쁘면 여기 게시판 세상에서 이러고 있을까.. ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ)) ​ 32만 원의 화살표 신호를 넘었다.. ​ 한고비 넘었다.. ​ 하.. 갈 수 있다!!~~ 손실률 팍팍 줄었다.. 후.. ​ 어제라도 추매를 했으면 지금 본전일 수도.. 근데 돈이 별로 없다.. ​ 파동이 꺽이고 있다.. 갈 수 있다.. ​ #아~ 그리고 주봉에서도 추세전환 신호가 나온다!!~~ 좋은 징조!!~~ ​
원형2-단타,적당히 내리면 사고 적당히 오르면,FOUND,raw_details.csv,1421,board_body,한미반도체,2026-08-04T11:01:24,"여러분 제발~~~!! 20만원 중반 이상 물린 분들은 어쩔 수 없지만...신규 진입이나 애매한 분들은 제발 단타 치세요! ​ 반도체가 조정 받았다 해도 그동안 너무 올랐기에 쉽게 가지 못해요...지금처럼 변동성도 크고 널뛰기 할때는 욕심을 버리시고 단타치면서 수익을 올리는 것도 하나의 방법입니다! ​ 약 2주간 한미에서 천만원으로 3백만원 수익 보고 있는데, 분단위까진 아니지만 적당히 내리면 사고 적당히 오르면 파는게 수익이 좋아요ㅋ ​ 제가 글 올리면 누군 푼돈 벌어 머하냐고 조롱 열라 하지만 2주전 첫 진입 금액이 22만원인데 지금까지 뒀으면 3백 수익은 커녕 -10%로 백만원 손해입니다ㅋ ​ 다들 홧팅입니다ㅋ"
원형2-우연신호,내가 어제 우연히 만든 신호,FOUND,raw_details.csv,1140,board_body,알테오젠,2026-08-04T14:13:10,32만 원~ 그 가격을 넘었다~ 내가 어제 우연히 만든 신호.. ((삶은 우연이자 사실은 필연의 나날들..)) ((의사 할아버지가 오늘까지는 운동 하지 말라고.. 그래서 등산을 포기하고 그냥 차트를 봤다..)) ((그러다가 우연이자 기연을 봤다..)) ((제발.. 언제나 통하는 수식이기를..)) ((오늘부터는 드디어 등산을 해도 된다.. 기쁘다.. 얼마나 기쁘면 여기 게시판 세상에서 이러고 있을까.. ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ)) ​ 32만 원의 화살표 신호를 넘었다.. ​ 한고비 넘었다.. ​ 하.. 갈 수 있다!!~~ 손실률 팍팍 줄었다.. 후.. ​ 어제라도 추매를 했으면 지금 본전일 수도.. 근데 돈이 별로 없다.. ​ 파동이 꺽이고 있다.. 갈 수 있다.. ​ #아~ 그리고 주봉에서도 추세전환 신호가 나온다!!~~ 좋은 징조!!~~ ​
원형3-항상이런마음,내일 항상 이런 마음을 가진다,FOUND,raw_details.csv,121,board_body,삼성전자,2026-08-04T14:29:55,내일 항상 이런 마음을 가진다 아..어제 손절 칠걸.. ​
