keyword,count
실적,231
투자,224
반도체,213
개미,140
기업,134
매수,129
회사,112
시장,111
국장,108
상승,103
이상,100
AI,100
매출,98
주주,95
분기,94
코스피,92
미국,90
코스닥,89
기관,86
한국,83
이익,83
영업,75
나라,74
이번,73
외국인,73
급등,71
미장,67
개인,66
가능,63
하락,63
삼전닉스,62
평가,61
중국,60
지수,60
레버리지,59
수익,58
공매도,56
목표,56
담합,56
매도,55
바닥,55
문제,53
가격,51
시작,51
정부,51
dc,50
official,50
App,50
폭락,49
국가,48
외인,47
감사,45
소리,44
전기,44
발표,44
전문가,42
아파트,42
얘기,41
ai,41
PRO,41
반등,40
국내,40
공장,40
기술,39
전지,39
로봇,39
세금,39
hbf,39
데이터,38
전망,37
수준,37
조정,37
폭등,37
상한,37
종가,37
시간,37
성장,37
메모리,36
문의,36
삼프로,36
