id,pool_size,source,stock,basis,psych_type,outcome,text
DM-004753,268,유튜브 댓글,슈카월드,,,,중공과 한패면서 해먹기 전문가들에게 나라의 자원을 몰빵.ㅋㅋㅋ
DM-001282,268,토론방 본문,LG에너지솔루션,,,,국내에서 배터리관련주 매수한다면 무조건 lg에너지솔루션이 1순위이긴한데 앞에 lg자가 붙어서 투자가 망설여짐...
DM-001427,268,토론방 본문,현대차,,,,무슨 레인보우는 맨날 오르냐... 어제도 듣보잡 로봇 상한가 가더니 오늘도 오르네  로봇 이차전지 자동차 섹터 다 급등가네 현차 프매 16만주 또 매수할거 마련한거야?  KB만 60만주 신한 40만주 골드만 200만주 매수해야함..
DM-003820,268,유튜브 댓글,삼프로TV,,,,"확실히 돌아 섰을 때? ㅋㅋ 그때가 언제요? 적당히 싼가격에 사서 적당한 가격에 팔거나 웃돈 붙여서 파는것, +분배되는 회사의 수익(배당)으로 이익을 보는 것이 성투, 반대로 손실보는 것이 투자실패, 확실히 돌아서는 시점이라고 확신하고 투자해서 화들짝 아닌것 같아서 팔았더니 천정부지로 올라서 화들짝, 주식시장에 전문가라니 ㅎㅎ"
DM-001980,268,토론방 댓글,에코프로,,,,추매금지  ᆢ지수가 살렸다  ᆢㅋㅋㅋ
DM-001445,268,토론방 본문,현대차,,,,KB  메릴 매수하게 하려고 반대로 자전돌렸네 ㅋㅋ 상한가 걸어나라~~
DM-001092,268,토론방 본문,삼성전자,,,,"★ 반도체) 팔란티어 17% 폭등: 삼성전자 10% 폭등 전망 ​ ★ 반도체) 팔란티어 17% 폭등: 삼성전자 10% 폭등 전망 ​ ★ 삼성전자: 곧, 90조원 자사주매입: 폭등가능: 선매수 24년 자사주 10조 매수로 68% 폭등 했었음 자사주 90조원 매수시 200% 폭등: 빨리 매수 필요 ​ ★ 삼성전자: 브로드컴과 300조원 반도체 수주: 매수 오픈AI+AMD+엔트로픽도 수백조 수주 대기: 대박! ​ ○ 삼성전자: 2분기 서프라이즈 실적 발표: 매수 적기 영업이익: 110조(충담금포함): 작년대비 1810% 폭증 ​ 1. 엔비디아 영업이익 81조: 삼성전자 110조(세계1위) 삼성전자: 외인+기관 최근 1750만주 매수: 급등신호 ​ 2. 삼성전자: 연말 특별배당 1주당 1.5만원: 폭등 재료! 하반기 갈수록, 고배당 받으려 매수세 몰림: 선 매수 ​ ★ 삼성전자: HBM+파운드리+휴대폰"
DM-003809,268,유튜브 댓글,삼프로TV,,,,신규 진입 시점 말고 빠져 나올 타이밍도 좀 알려주세요.
DM-002440,268,토론방 본문,한미반도체,,,,193300에. 추매 200쭈 매수~~~^^♡♡♡♡♡
DM-003176,268,디시 제목,해외주식갤,,,,테슬롱 물타려고 들어가보니 3천없다고 민심 박살나있네
DM-000995,268,토론방 본문,삼성전자,,,,240일선이랑 볼밴 하단  22만~21만 사이에 외국인 포지션 보고 분할매수 하이소 정답지 줘다 ​
DM-000502,268,토론방 제목,NAVER,,,,"얘들아, 내가 오늘 23줄때 전량매도 한 이유 말해줄까 새겨들어라"
DM-002274,268,토론방 본문,알테오젠,,,,34.5 매물대 못뚫는게 아니고 안뚫는거다 형들 저런 허매도벽은 사라질예정~ 잘보소~
DM-002296,268,토론방 본문,알테오젠,,,,신기한용자야 또 매수타점 알려조!!!!!!!!!! 사랑해
DM-001364,268,토론방 본문,현대차,,,,kb 90만주 매수해야하네~~ ㅎ 상한가 걸어나라  인위적 누름은   풀매수~~~!!
DM-001098,268,토론방 본문,삼성전자,,,,"외인이 어제 선물 매도 쳐서 장초반 음봉이었고.. 이제 선물 매도 처리 마무리로, 다시 종가 보합이상 간다"
DM-004447,268,유튜브 댓글,슈카월드,,,,단독주책을 살면서도 옆집 사람이 마음에 안들면 그 집을 사버려서 비워둘 정도로 프라이버시에 민감한 미국인들에게 한국식 아파트는 진입징벽이 너무 높음 뉴욕이나 샌프란에 아파트 많은데 뭐가 문제냐 할텐데 미국은 같은 나라라도 생활습관이 천차만별임 평생을 한적한 단독주택 지역에 살았던 사람은 누구와 벽을 마주하고 같이 생활하는건 상상도 못하는 미국인이 절대 다수임
DM-003857,268,유튜브 댓글,삼프로TV,,,,요즘 코스닥 상한가는... 직원들 월급은 제때 주냐..? 이런거 샀다 물리고 누굴 원망하냐?
DM-001803,268,토론방 본문,에코프로비엠,,,,"8월 3일~~~!!!!!!! 삼성전자~ 공매도 수량 ; 4,581,393주 공매도 비율 ; 8.64 % 공매도 금액 ; 1,110,348,000,000원 간 땡이가 부었네~~~!!!!!!!   ㅋㅋㅋ ㅋㅋ ㅋㅋㅋ"
DM-000256,268,토론방 제목,LG에너지솔루션,,,,공매도 상위 세력들이 외국계가 많은데
DM-000826,268,토론방 제목,알테오젠,,,,신용미수전재산몰빵 집산다 상가자 패는보여졌다
DM-004553,268,유튜브 댓글,슈카월드,,,,세금 때문이라면 싱가포르도 경차를 타야지. 일본 도로는 정말 좁고 주차장이 있다러다도 경차 아님 못 대는 곳 많음.
DM-003646,268,디시 제목,한국주식갤,,,,삼전 23.5에 100개 샀다 가즈아~
DM-004944,268,유튜브 댓글,슈카월드,,,,미국 반도체 겁나 빠져서 오늘도 장난아닐거에요 그레서 밤에 좀 샀죠 ㅎㅎ
DM-003284,268,디시 본문,해외주식갤,,,,데이장 하한가 종목 와바밧 풀매수했다가 5시에 졸업하는 해붕이들 늘어난다. 한 패턴 나오면 그거랑 비슷한 패턴으로 털어먹는게 국룰이더라
DM-003988,268,유튜브 댓글,삼프로TV,,,,써클인터넷그룹 재료소멸이야 내가투자할떼는 소외종목. ㅋㅋㅋ 익절후 개미대거탑승
DM-001929,268,토론방 본문,에코프로비엠,,,,"뮈~뭐라고? 에코프로비엠.... 목표가 115,000원 이라고? 완전 미첫구나~ 뒤통수 치는기업 평단가 5만원이면 충분한디.. 어서오거라..형이 매수하마 풉.."
DM-001900,268,토론방 댓글,에코프로비엠,,,,욕심을 버렸어야지. 파이어족? 야 심심해. 열심히 땀흘리면서 80살까지 일해 마
DM-003616,268,디시 제목,한국주식갤,,,,저는 삼전을 23밑에서 매도한 병신입니다
DM-001708,268,토론방 본문,NAVER,,,,팩트는 원숭이도 돈을 번다는거임 숫자오면 매수하고 ​ 숫자오면 매도하고 ​ 네이버는 그게 돼 ​ 장을 예측하는건 사람이라서 하는게 아니야 ​ 그냥 학습으로 축적된 확률일 뿐이지 ​ 알량한 학습은 ai한테 밀리지만 ​ 그럼에도 월 1000 에는 무리가 없지
DM-002009,268,토론방 본문,에코프로,,,,"에코프로 2분기 실적발표회 내용에 대한 개인 의견 형님 누님들 안녕하심까 투자의 귀재, 주식 차트의 지배자, 발끝에서 사서 머리 꼭대기에서 판다. 호재인가요? 아니 화재입니다. 한강물 수온 체크는 필요 없다. 왜? 안 들어갈테니까. 월스트리트가 벌벌 떠는 회귀한 재벌집 서자 망나니 바로 저 빠른매매독수리 입니다. 오늘은 에코프로 2분기 IR 핵심 정리를 해보겠습니다. ​ ​ 에코프로 2026년 2분기 IR 핵심 정리 (개인 의견) 2분기 실적은 시장 기대에는 다소 못 미쳤지만, IR 자료를 끝까지 보면 하반기 회복에 대한 근거를 꽤 구체적으로 제시했습니다. ​ ■ 연결 실적 매출 : 8,208억원 (1분기 8,183억원 → +0.3%) 영업이익 : 329억원 (1분기 564억원 → -41.7%) 영업이익률 : 4.0% (1분기 6.9%) 당기순이익 : 492억원 상반기 누적 영업이익 : 893억"
DM-003300,268,디시 본문,해외주식갤,,,,요즘 첫 투자는 무조건 10만원치만 드감(한도 백만원) 1퍼만 먹고나왔는데 수익이 1만원이길래 뭔가봤더니 실수로 풀매수 때린거였네 시발 내려갔으면 피눈물 흘렸을 듯..
DM-002452,268,토론방 댓글,한미반도체,,,,지금 사야 저녁때 10% 먹을수 있어 냠냠
DM-000352,268,토론방 제목,현대차,,,,미래 사팔이하니  ..한투도ㅋ기 오늘kb 십만주매수하긋네 자전골만.
