id,pool_size,source,stock,basis,psych_type,outcome,text
DM-000344,268,토론방 제목,현대차,매매아님,,불명,대차상환도 1위; 자동차 판매도 역대 1위 주가 바닥 1위
DM-000514,268,토론방 제목,NAVER,매매아님,,불명,"네이버 외국인/기관 1,500억 대량순매수"
DM-000615,268,토론방 제목,에코프로비엠,매매아님,,불명,계속 악의적 리포트 발행하고 공매도 치고
DM-000911,268,토론방 제목,한미반도체,매매아님,,불명,어제 오늘 금요일 올린거 뺏으니 내일이나 모레 쳐올리것지 공매도 친게 얼마인데
DM-000990,268,토론방 댓글,삼성전자,매매아님,,불명,왜 공매도 금지 안하나요? 갬들이 호구인가요. 도저히 국장은 못하겠어요 공매도 금지해 주세요
DM-001001,268,토론방 본문,삼성전자,매매아님,,불명,"외인들 코스피200 지수선물   1,100포인트  상단 매도포지션 구축 해둠 박스권 매매. 순환매 장세 ​"
DM-001009,268,토론방 본문,삼성전자,매매아님,,불명,홍감독 반도체주 전략~ 단어 알지? 반도체주 물타 ​ 오늘 장끝나기전에 물타 ​ 바보같이 팔아서 주식시장을 떠나거나 그거는 절대 안돼 하지만 ​ 순간 순간 순간마다 반도체주에 물타 ​ 난 한강가는 여러분 볼거야
DM-001052,268,토론방 본문,삼성전자,매매아님,,불명,금일 14시30분까지  외 약 44만주 매수중 ​ 개관계. 약 192만주 매도중
DM-001086,268,토론방 본문,삼성전자,심리주도,기타,손실·물림·후회,38만에도 삼전을 믿고 안팔았다 평단 7만이다. 최저가 할인이다. 주주환원 곧 나온다.
DM-001109,268,토론방 본문,삼성전자,심리주도,복수매매,불명,한달동안 지수보다 더 빼는데 좀 반등나오면 인버스2배지.. 반등 보이면 인버스2배 추매로..
DM-001114,268,토론방 본문,삼성전자,혼합,,불명,저녁 프리장은 지켜봐야겠지만  0현재시간 14:46 현재가 232000 ​ 개인이 400여만주 매수_ 수급이 이러면 ​ 낼도 조장일듯 싶다 ​ 저녁 프리장 수급보고 단기 진잊여부 체크해봐야지 ​ 그니마 삼히닉레버리지 영향력이 약해진건가 그러면 다행이고 ​ 21층부터 분할메수 딱이긴하네 -18층까지 염두하고 ​
DM-001158,268,토론방 본문,SK하이닉스,매매아님,,불명,이제야 개인들이정신차리나홀딩개나주고사팔대응~ 사팔 대응 안 되면  절대  삼전 하닉 매매 하면 안 됨 추세를 보면 간단 ​ ​ ​ ? 월가  넘들도  괴관 넘들도  사팔 사팔인데 ​ 새발의 피인 개인들이  홀딩해서 뭘 얻으려고 ​ 계좌  녹고 징징 짜려고 주식 하는게 아니라면 ​ 어제 처럼 10% 이상 무조건 많이  폭락  뒤에 매매 해서 사팔 사팔해야 ​ 그나마 안 물리고 익절도 가능 ​ 오늘은 단타도 안 됨   저것들  다 기계 매매임 ~ ​
DM-001216,268,토론방 본문,SK하이닉스,매매아님,,불명,반도체 끝났다고ㅋㅋㅋ 도대체 몇번얘기해야 알아먹냐ㅋㅋ3주전부터 익절하고 나가라고 계속얘기중인데..왜자꾸 손실을 볼려는거야
DM-001274,268,토론방 본문,LG에너지솔루션,매매아님,,불명,회사 경영진 무엇하고 있나요. 주가는 5년전 공모가  주가 부양책으로 매입후 소각을 해야 합니다. 특허나 사회공헌활동 투자는 이제 그만하고 주주들 위해서 주가 부양책을 내 놓아야 합니다. 기관들 매도만 줄기차게 하고 있어요.
DM-001297,268,토론방 본문,LG에너지솔루션,매매아님,,불명,레버리지 규제가 아니라 공매도 금지를 해라..!!! 답답하네
DM-001299,268,토론방 본문,LG에너지솔루션,매매아님,,불명,22.91% 어째 주가는 상장가 근처인데도 이렇게 매일 두자리 이상의 공매도를 치는지....매일같이 이해불가다... ​
DM-001352,268,토론방 본문,LG에너지솔루션,불명,,수익,"얘는 내가 겨울방학에 40에 사서 44에 팔고 나갔는데 ㅋㅋ 그때 코스피 4000언쩌리였는데 한동안 안보다가 한 60 언저리 갔나 하고 보니까 30..? 아래로 성장하네,, 안팔았으면 큰일날뻔"
DM-001439,268,토론방 본문,현대차,매매아님,,불명,대차상환도 1위; 자동차 판매도 역대 1위 주가 바닥 1위  볼부도 이겼구마~~ 유럽 인도 미국 7월도 역대 판매 1위 ​ ​
DM-001448,268,토론방 본문,현대차,매매아님,,불명,미래 사팔이하니  ..한투도ㅋ기 오늘kb 십만주매수하긋네 자전골만. 증권사돌려막기 금감원고발해야쥬? ​ ​
